Date,Player_Name,Team,Opponent,Runs,Balls_Faced,Fours,Sixes,Wickets,Economy_Rate,Match_Result,Match_Type,Player_Impact_Score,Strike_Rate,Catches,Target_Score
2020-09-11,Joe Root,New Zealand,Bangladesh,92,84,21,3,4,9.22,Loss,ODI,158.56,109.52,1,149
2020-12-28,Steve Smith,India,Sri Lanka,182,98,42,6,0,9.65,Tie,Test,173.7,185.71,0,131
2024-10-25,David Warner,Pakistan,Australia,80,122,18,11,3,8.54,Loss,T20,151.92,65.57,2,198
2024-12-17,Babar Azam,Australia,Bangladesh,73,26,10,10,5,7.6,Tie,Test,171.3,280.77,0,285
2022-03-28,Rohit Sharma,Australia,South Africa,159,34,28,20,0,7.45,Win,T20,180.6,467.65,4,397
2024-05-05,Virat Kohli,Sri Lanka,New Zealand,106,53,21,15,5,9.92,Loss,T20,220.16,200,3,362
2025-06-18,David Warner,Pakistan,England,115,8,11,15,0,4.75,Tie,Test,115,1437.5,3,291
2025-03-13,David Warner,England,India,118,49,24,7,3,8.59,Tie,ODI,170.82,240.82,3,295
2025-03-02,Rohit Sharma,Pakistan,Bangladesh,2,136,0,0,3,4.59,Tie,T20,51.82,1.47,2,238
2020-12-20,Jos Buttler,India,England,112,142,22,13,5,4.65,Win,Test,229.7,78.87,1,212
2025-01-08,Rohit Sharma,Australia,England,168,89,1,22,5,4.59,Win,Test,242.82,188.76,2,354
2020-12-01,Babar Azam,New Zealand,Sri Lanka,145,141,8,21,0,9.38,Tie,ODI,132.74,102.84,0,277
2020-09-13,Virat Kohli,New Zealand,India,91,66,18,11,5,4.97,Win,Test,204.56,137.88,2,394
2021-12-26,Kane Williamson,Australia,New Zealand,9,143,0,0,5,9.43,Tie,Test,85.64,6.29,2,184
2021-03-02,Rohit Sharma,India,Australia,196,37,25,15,2,6.15,Tie,ODI,220.7,529.73,0,224
2023-07-13,Babar Azam,Australia,New Zealand,59,71,14,9,3,8.57,Win,T20,127.36,83.1,1,251
2021-10-28,Kane Williamson,Australia,Pakistan,59,34,8,5,4,9.04,Win,ODI,122.42,173.53,1,376
2021-05-21,Virat Kohli,Sri Lanka,India,63,85,3,5,4,4.79,Loss,T20,122.92,74.12,1,247
2020-09-14,Joe Root,Sri Lanka,South Africa,76,72,15,7,1,8.58,Tie,T20,91.84,105.56,0,207
2020-11-20,Virat Kohli,Pakistan,England,153,137,36,13,2,8.08,Tie,Test,211.34,111.68,2,166
2023-05-02,Jos Buttler,India,Bangladesh,199,25,45,8,0,5.93,Loss,T20,201.64,796,1,317
2023-12-28,Kane Williamson,New Zealand,Sri Lanka,150,26,9,12,1,4.53,Win,T20,139.94,576.92,1,309
2021-06-09,Kane Williamson,New Zealand,Bangladesh,152,81,27,23,2,9.98,Win,ODI,219.04,187.65,4,274
2020-06-04,Virat Kohli,Sri Lanka,Australia,124,90,3,1,5,8.59,Loss,Test,153.82,137.78,1,332
2021-12-05,Steve Smith,Australia,India,179,45,13,17,1,9.7,Tie,Test,167.1,397.78,2,286
2025-02-28,Rohit Sharma,India,New Zealand,153,12,7,5,4,3.11,Win,ODI,179.28,1275,2,217
2020-01-11,Babar Azam,Bangladesh,Sri Lanka,89,28,16,14,2,7.25,Win,Test,144,317.86,1,217
2022-06-21,Babar Azam,England,Sri Lanka,52,66,1,1,0,8.87,Loss,Test,13.26,78.79,4,216
2024-07-22,Babar Azam,Pakistan,England,116,61,9,14,4,8.12,Loss,Test,181.76,190.16,3,223
2025-06-15,Rohit Sharma,South Africa,Bangladesh,138,47,18,0,2,6.96,Tie,Test,131.08,293.62,4,124
2021-11-12,Babar Azam,Sri Lanka,India,113,22,11,18,4,9.63,Loss,T20,193.24,513.64,0,295
2023-05-09,David Warner,South Africa,New Zealand,127,150,20,6,1,6.1,Win,ODI,129.3,84.67,0,355
2024-01-12,Jos Buttler,South Africa,Sri Lanka,21,121,2,1,1,7.1,Tie,T20,23.3,17.36,2,207
2023-11-10,David Warner,India,Bangladesh,161,143,39,8,1,7.42,Tie,Test,187.66,112.59,1,344
2023-01-21,Babar Azam,India,New Zealand,55,33,3,6,1,7.98,Loss,Test,55.54,166.67,4,292
2025-01-01,Kane Williamson,New Zealand,Sri Lanka,115,58,15,17,5,8.59,Win,Test,221.32,198.28,0,287
2024-01-09,Steve Smith,South Africa,Pakistan,197,91,21,19,2,5.94,Loss,T20,225.62,216.48,1,179
2024-05-23,Joe Root,England,Pakistan,129,82,23,4,1,8.31,Tie,T20,125.88,157.32,4,365
2021-03-08,Rohit Sharma,New Zealand,England,69,130,3,3,3,8.56,Tie,ODI,92.38,53.08,4,140
2022-01-03,Virat Kohli,Sri Lanka,Bangladesh,166,118,26,2,0,7.72,Win,ODI,125.56,140.68,1,373
2023-08-25,Steve Smith,Sri Lanka,Australia,65,24,14,7,5,7.03,Win,Test,167.44,270.83,4,317
2020-08-19,Jos Buttler,Sri Lanka,India,105,113,4,11,2,6.73,Tie,ODI,120.04,92.92,2,296
2021-04-02,Virat Kohli,Sri Lanka,England,81,80,12,9,2,7.91,Win,Test,115.68,101.25,2,259
2021-12-05,Rohit Sharma,Pakistan,New Zealand,41,27,6,0,1,9.67,Tie,Test,33.16,151.85,2,233
2021-03-19,Joe Root,Bangladesh,Australia,192,26,41,10,4,8.81,Tie,T20,270.38,738.46,3,181
2022-02-06,Virat Kohli,England,New Zealand,97,117,13,15,4,3.93,Win,ODI,191.64,82.91,0,309
2023-05-23,Babar Azam,Pakistan,New Zealand,16,60,2,0,3,6.25,Loss,Test,59.5,26.67,0,236
2021-01-12,David Warner,Australia,Sri Lanka,108,34,18,13,2,5.99,Win,T20,157.02,317.65,1,319
2023-05-28,Babar Azam,South Africa,New Zealand,24,135,6,4,4,9.87,Loss,Test,96.26,17.78,0,137
2022-11-20,David Warner,England,Sri Lanka,47,72,3,7,0,4.53,Win,T20,41.44,65.28,4,204
2021-06-04,Kane Williamson,India,Sri Lanka,129,27,24,20,3,9.66,Tie,ODI,213.18,477.78,1,341
2022-09-14,Kane Williamson,Sri Lanka,England,110,57,11,6,3,7.92,Win,Test,139.16,192.98,4,305
2021-09-10,Jos Buttler,England,India,62,79,14,3,0,6.74,Loss,Test,54.52,78.48,4,345
2022-11-10,Virat Kohli,Bangladesh,Sri Lanka,132,106,20,18,3,8.05,Tie,ODI,203.9,124.53,3,176
2022-08-18,Rohit Sharma,South Africa,Bangladesh,77,19,1,8,1,4.67,Tie,T20,75.16,405.26,0,354
2020-07-05,Kane Williamson,England,Pakistan,181,139,10,28,5,9.49,Win,Test,275.52,130.22,4,369
2021-02-21,Virat Kohli,India,New Zealand,114,94,18,7,2,9.27,Win,ODI,135.46,121.28,2,354
2022-02-25,Steve Smith,New Zealand,England,195,141,14,6,0,4.13,Loss,T20,135.24,138.3,3,253
2023-12-16,Babar Azam,India,Australia,18,126,0,0,0,8.24,Win,ODI,-7.48,14.29,1,173
2020-09-21,Virat Kohli,South Africa,England,137,89,11,12,1,6.45,Win,ODI,133.6,153.93,1,166
2024-05-29,Kane Williamson,India,Pakistan,186,139,38,16,4,6.8,Tie,ODI,283.4,133.81,3,190
2021-11-22,Babar Azam,England,South Africa,111,3,15,6,0,3.75,Win,Test,96,3700,3,163
2020-03-30,Rohit Sharma,England,New Zealand,16,34,2,2,1,8.73,Win,Test,20.54,47.06,4,235
2021-10-26,Kane Williamson,Bangladesh,Australia,172,37,20,4,5,9.07,Win,Test,219.86,464.86,0,135
2021-10-06,Joe Root,Australia,India,164,63,4,25,1,9.08,Tie,ODI,166.84,260.32,3,352
2020-05-25,Virat Kohli,New Zealand,Sri Lanka,183,87,2,8,3,4.81,Loss,T20,169.88,210.34,0,186
2020-01-14,Steve Smith,Australia,Sri Lanka,76,123,4,0,3,7.51,Loss,Test,90.98,61.79,3,277
2022-12-03,Jos Buttler,Australia,New Zealand,120,21,13,13,5,6.46,Loss,ODI,212.08,571.43,4,350
2022-07-18,Steve Smith,Bangladesh,Sri Lanka,10,142,1,1,4,9,Win,Test,72,7.04,3,131
2020-03-31,Steve Smith,India,Pakistan,172,23,19,17,0,8.02,Loss,T20,158.96,747.83,3,178
2021-01-01,David Warner,South Africa,Australia,118,126,20,13,2,6.21,Tie,Test,165.58,93.65,1,125
2020-03-15,Kane Williamson,Pakistan,Australia,132,90,29,17,0,3.08,Loss,T20,168.84,146.67,4,390
2020-02-25,Virat Kohli,New Zealand,Pakistan,108,114,6,1,5,7.68,Loss,Test,153.64,94.74,3,134
2024-07-08,Jos Buttler,Australia,Sri Lanka,116,38,27,17,3,3.72,Loss,Test,215.56,305.26,0,220
2022-02-04,David Warner,India,Pakistan,162,86,38,19,5,9.92,Loss,T20,294.16,188.37,3,267
2024-07-22,Joe Root,Pakistan,Bangladesh,196,132,18,6,3,7.21,Tie,ODI,197.58,148.48,0,353
2023-11-14,Steve Smith,Sri Lanka,England,172,119,42,7,2,8.03,Tie,ODI,214.94,144.54,4,383
2022-04-05,Babar Azam,India,Sri Lanka,52,92,1,4,0,9.92,Tie,Test,20.16,56.52,4,172
2022-06-25,Virat Kohli,England,South Africa,153,12,31,4,3,3.67,Loss,Test,203.16,1275,3,269
2023-09-06,Rohit Sharma,Bangladesh,England,193,79,48,29,1,3.09,Tie,ODI,293.32,244.3,2,362
2024-04-13,Babar Azam,India,Sri Lanka,119,13,29,12,3,7.21,Loss,ODI,199.08,915.38,0,330
2024-01-17,Steve Smith,Sri Lanka,New Zealand,110,17,16,1,0,9.64,Loss,ODI,70.72,647.06,4,199
2023-08-14,Joe Root,India,Sri Lanka,198,104,10,0,2,7.42,Tie,Test,144.16,190.38,4,158
2022-05-12,Kane Williamson,India,Sri Lanka,172,76,29,0,3,6.47,Loss,T20,191.06,226.32,4,209
2021-08-02,David Warner,India,South Africa,66,12,11,0,5,3.36,Tie,T20,148.28,550,0,333
2020-10-07,David Warner,New Zealand,South Africa,47,104,9,7,1,7.32,Loss,T20,67.86,45.19,1,134
2025-05-21,Steve Smith,Sri Lanka,India,175,105,0,16,3,9.04,Tie,ODI,177.42,166.67,1,303
2021-02-06,Jos Buttler,England,Sri Lanka,141,21,16,9,1,7.52,Tie,ODI,134.46,671.43,1,301
2023-04-08,Virat Kohli,England,New Zealand,66,9,16,0,4,4.14,Tie,ODI,136.72,733.33,0,149
2022-07-04,David Warner,India,Pakistan,81,9,16,11,3,4.15,Tie,Test,157.2,900,1,294
2022-10-20,Steve Smith,New Zealand,Pakistan,100,79,24,5,0,4.67,Win,ODI,103.66,126.58,2,345
2020-03-27,Joe Root,Pakistan,South Africa,196,116,10,10,1,6.4,Win,T20,155.2,168.97,0,202
2024-08-13,Kane Williamson,Sri Lanka,Bangladesh,165,100,6,0,0,4.75,Tie,T20,85,165,0,295
2022-11-15,Jos Buttler,South Africa,Australia,123,86,12,14,1,7.06,Win,Test,133.38,143.02,0,215
2022-09-05,Virat Kohli,India,Sri Lanka,160,60,19,9,2,5.74,Win,T20,173.52,266.67,1,123
2022-06-06,Virat Kohli,Pakistan,New Zealand,189,7,36,4,2,7.46,Win,ODI,203.58,2700,4,153
2020-07-02,David Warner,Pakistan,India,144,42,34,16,0,6.88,Win,T20,174.24,342.86,0,242
2023-08-03,David Warner,India,South Africa,123,101,11,12,4,5.45,Loss,Test,188.6,121.78,0,343
2025-04-11,Kane Williamson,South Africa,India,171,35,22,7,0,6.8,Win,ODI,136.9,488.57,3,297
2021-06-08,Virat Kohli,Pakistan,Sri Lanka,29,86,3,3,5,5.81,Win,T20,117.88,33.72,4,208
2023-05-04,Babar Azam,New Zealand,England,124,58,17,0,5,9.11,Win,Test,177.78,213.79,2,227
2022-02-09,David Warner,India,England,39,21,6,6,2,6.91,Loss,ODI,75.68,185.71,3,299
2023-02-03,Rohit Sharma,New Zealand,Australia,107,40,18,14,0,3.14,Loss,T20,125.22,267.5,2,286
2024-11-12,Virat Kohli,Sri Lanka,India,124,9,16,14,5,7.59,Tie,Test,220.82,1377.78,2,304
2023-12-31,Jos Buttler,Pakistan,New Zealand,88,139,20,4,4,6.55,Tie,Test,162.9,63.31,4,366
2021-05-02,Virat Kohli,Bangladesh,Australia,194,37,29,10,3,3.19,Win,Test,238.62,524.32,2,141
2020-06-19,Kane Williamson,Sri Lanka,Australia,170,119,34,16,3,6.55,Loss,T20,247.9,142.86,2,342
2023-09-13,Virat Kohli,England,South Africa,99,130,11,14,3,3.02,Loss,ODI,167.46,76.15,3,155
2025-05-05,Joe Root,India,Pakistan,191,62,30,26,4,5.05,Win,ODI,303.4,308.06,2,133
2023-05-08,Virat Kohli,Pakistan,Bangladesh,58,131,12,1,5,3.4,Loss,T20,149.2,44.27,0,286
2020-03-09,Jos Buttler,Sri Lanka,England,69,144,13,0,0,8.98,Win,T20,42.54,47.92,1,271
2024-09-27,David Warner,India,Pakistan,96,47,7,8,2,4.69,Loss,T20,116.62,204.26,2,388
2022-08-30,Steve Smith,South Africa,Pakistan,42,60,4,4,4,4.36,Tie,ODI,112.28,70,2,379
2024-08-04,David Warner,New Zealand,Australia,9,100,1,0,0,3.04,Loss,ODI,0.42,9,2,171
2024-11-04,Babar Azam,Sri Lanka,Pakistan,196,139,22,18,0,6.01,Tie,T20,183.98,141.01,2,229
2020-03-06,Virat Kohli,England,India,104,57,18,7,4,7.62,Loss,ODI,173.76,182.46,3,285
2022-12-14,David Warner,Australia,Sri Lanka,187,114,0,1,3,4.52,Tie,T20,147.46,164.04,0,373
2023-11-30,Joe Root,India,Australia,57,13,7,5,4,5.21,Win,T20,127.08,438.46,4,345
2023-09-08,Kane Williamson,Australia,England,197,31,35,12,5,3,Win,T20,298.5,635.48,3,339
2023-10-26,Rohit Sharma,Australia,England,137,99,18,20,5,9.89,Tie,T20,244.72,138.38,2,345
2025-03-24,Joe Root,Bangladesh,Pakistan,46,143,4,3,1,9.55,Win,Test,40.9,32.17,2,210
2021-09-02,Babar Azam,South Africa,India,59,45,4,9,4,8.51,Loss,ODI,127.48,131.11,4,123
2023-06-20,Kane Williamson,Pakistan,New Zealand,21,31,0,1,4,4.31,Win,T20,84.88,67.74,3,219
2024-12-09,Kane Williamson,Australia,South Africa,178,24,11,7,2,8.99,Loss,T20,154.02,741.67,1,265
2023-12-09,Rohit Sharma,India,Pakistan,67,104,9,6,3,3.53,Tie,Test,122.44,64.42,2,165
2022-10-01,Steve Smith,England,Australia,168,28,3,11,0,7.38,Loss,Test,108.24,600,0,198
2022-08-02,David Warner,New Zealand,Bangladesh,83,69,1,6,0,4.58,Tie,ODI,52.34,120.29,0,281
2021-11-08,Rohit Sharma,Bangladesh,India,20,4,0,0,0,9.17,Tie,T20,-8.34,500,3,323
2022-05-03,David Warner,India,Bangladesh,41,81,1,5,1,6.86,Win,Test,43.78,50.62,4,228
2020-08-18,Babar Azam,India,New Zealand,60,36,11,4,4,8.16,Loss,Test,127.68,166.67,3,267
2023-07-05,Babar Azam,Bangladesh,England,115,48,26,11,3,3.15,Loss,Test,196.2,239.58,3,136
2021-10-10,David Warner,New Zealand,Australia,32,9,1,5,2,4.18,Tie,ODI,64.64,355.56,4,125
2022-06-05,Steve Smith,Sri Lanka,Bangladesh,188,36,38,1,2,7.61,Loss,Test,197.78,522.22,0,353
2022-04-03,Virat Kohli,Bangladesh,New Zealand,146,96,13,1,0,4.85,Loss,Test,92.3,152.08,4,241
2022-11-20,Steve Smith,South Africa,New Zealand,86,52,13,5,3,3.5,Tie,T20,137,165.38,1,260
2022-12-08,Joe Root,Bangladesh,India,132,140,2,22,1,8.63,Tie,T20,138.74,94.29,3,145
2023-07-11,David Warner,India,Bangladesh,21,74,3,2,4,8.65,Loss,ODI,85.2,28.38,3,380
2021-02-02,David Warner,New Zealand,India,77,140,17,2,2,3.92,Tie,ODI,110.66,55,0,121
2023-09-28,Rohit Sharma,Pakistan,Sri Lanka,12,21,3,0,4,5.6,Loss,Test,80.8,57.14,4,371
2024-11-23,Kane Williamson,India,South Africa,89,58,20,14,5,8.73,Win,Test,209.04,153.45,3,231
2020-02-05,David Warner,South Africa,Australia,42,86,5,6,2,8.31,Tie,ODI,72.38,48.84,0,132
2023-11-03,Kane Williamson,Sri Lanka,New Zealand,169,134,17,24,5,3.95,Loss,T20,282.6,126.12,0,138
2022-03-31,Babar Azam,Pakistan,India,63,56,4,6,4,6.71,Tie,Test,124.08,112.5,2,155
2023-01-26,Jos Buttler,Sri Lanka,South Africa,5,22,1,0,3,4.6,Loss,T20,55.3,22.73,3,152
2025-01-05,Babar Azam,New Zealand,South Africa,57,64,5,4,4,5.52,Tie,T20,119.46,89.06,3,369
2021-08-22,Babar Azam,Bangladesh,New Zealand,149,89,2,1,0,3.7,Tie,Test,74.1,167.42,4,301
2021-08-17,Jos Buttler,New Zealand,India,129,142,3,0,1,4.61,Loss,T20,81.28,90.85,1,291
2021-07-19,Jos Buttler,New Zealand,Sri Lanka,149,14,26,9,2,8.14,Win,ODI,177.22,1064.29,2,365
2022-02-08,David Warner,India,South Africa,50,78,0,6,5,4.72,Loss,ODI,133.56,64.1,3,262
2024-12-04,Babar Azam,New Zealand,South Africa,140,10,6,17,0,9.6,Tie,Test,113.8,1400,1,300
2022-04-22,Jos Buttler,Bangladesh,South Africa,43,73,0,1,1,3.79,Tie,ODI,36.92,58.9,4,291
2023-03-22,David Warner,Australia,Sri Lanka,176,117,43,23,2,5.82,Tie,ODI,271.36,150.43,4,373
2020-01-19,Steve Smith,New Zealand,Pakistan,59,42,13,1,2,7.1,Loss,ODI,84.3,140.48,4,138
2020-08-29,Rohit Sharma,Australia,Pakistan,80,124,3,3,4,9.27,Win,Test,116.46,64.52,1,186
2025-02-01,Joe Root,India,Sri Lanka,46,114,9,3,4,7.47,Loss,T20,115.06,40.35,2,371
2024-10-06,Rohit Sharma,Pakistan,New Zealand,167,40,35,8,0,9.14,Loss,T20,159.22,417.5,2,278
2022-02-20,Virat Kohli,India,South Africa,182,48,24,21,4,3.6,Tie,Test,274.8,379.17,4,228
2021-08-24,Babar Azam,England,Pakistan,139,44,11,1,2,8.49,Win,T20,117.52,315.91,4,327
2024-02-02,Virat Kohli,England,India,56,109,4,2,5,5.55,Tie,Test,130.9,51.38,3,219
2024-10-19,Virat Kohli,Bangladesh,New Zealand,0,129,1,0,4,7.89,Loss,T20,66.22,0,3,274
2020-08-18,David Warner,Sri Lanka,South Africa,193,106,8,28,4,9.26,Tie,T20,257.98,182.08,0,281
2023-05-18,Virat Kohli,Sri Lanka,England,138,101,14,19,2,9.11,Loss,T20,175.78,136.63,4,173
2022-12-29,Kane Williamson,India,Bangladesh,93,80,17,6,3,4.9,Loss,ODI,148.7,116.25,1,230
2023-09-18,Kane Williamson,England,New Zealand,155,107,23,4,4,8.83,Loss,Test,197.84,144.86,0,121
2020-08-28,Virat Kohli,Bangladesh,Pakistan,1,52,0,0,5,5.69,Loss,T20,89.12,1.92,0,130
2022-03-29,Steve Smith,New Zealand,Sri Lanka,170,43,1,19,5,3.5,Loss,Test,237,395.35,3,137
2025-04-02,Kane Williamson,England,Sri Lanka,147,48,30,8,3,7.28,Loss,ODI,202.94,306.25,2,335
2023-01-19,Steve Smith,Australia,India,25,20,1,4,2,7.18,Win,ODI,52.14,125,2,370
2023-01-20,Rohit Sharma,India,New Zealand,127,8,13,13,2,4.29,Tie,Test,159.92,1587.5,4,249
2021-07-27,Virat Kohli,New Zealand,England,112,75,9,5,1,7.95,Loss,Test,93.1,149.33,4,184
2023-05-27,Babar Azam,Pakistan,New Zealand,166,55,29,3,0,5.68,Loss,T20,138.64,301.82,3,160
2021-08-31,Jos Buttler,India,Australia,158,121,3,19,0,4.34,Loss,Test,133.32,130.58,4,220
2025-04-10,David Warner,Pakistan,India,2,7,0,0,2,5.44,Win,Test,30.12,28.57,2,265
2020-07-12,Babar Azam,South Africa,Sri Lanka,21,100,1,0,2,5.43,Tie,T20,41.64,21,4,358
2022-02-15,Virat Kohli,Sri Lanka,India,175,9,6,21,2,5.97,Loss,T20,190.56,1944.44,3,219
2024-06-15,Steve Smith,New Zealand,England,194,21,44,1,4,5.21,Loss,T20,257.58,923.81,3,204
2023-09-01,Kane Williamson,South Africa,Australia,190,38,9,8,0,4.58,Win,T20,127.84,500,2,310
2021-07-16,Steve Smith,Bangladesh,New Zealand,196,16,22,31,5,8.82,Win,T20,317.36,1225,0,384
2023-11-14,Kane Williamson,Pakistan,South Africa,191,138,29,29,5,6.27,Loss,ODI,327.96,138.41,0,350
2021-07-22,Jos Buttler,South Africa,Bangladesh,17,105,4,1,1,9.44,Tie,ODI,20.62,16.19,4,127
2022-11-20,David Warner,Pakistan,South Africa,145,92,22,16,3,4.89,Tie,ODI,214.72,157.61,2,398
2022-10-08,Kane Williamson,Bangladesh,India,17,32,1,2,4,4.33,Tie,ODI,87.84,53.12,1,214
2020-06-10,David Warner,Bangladesh,India,152,46,9,19,1,4.9,Win,Test,161.2,330.43,0,228
2022-05-18,Joe Root,England,New Zealand,35,15,0,4,5,7.58,Tie,T20,114.34,233.33,4,277
2020-04-04,Babar Azam,Australia,England,112,38,18,10,0,4.13,Loss,ODI,113.74,294.74,3,293
2024-07-11,Jos Buttler,England,Bangladesh,63,121,1,3,2,4.56,Win,Test,73.38,52.07,3,355
2024-06-21,Jos Buttler,South Africa,New Zealand,173,125,14,12,1,8.69,Loss,T20,153.12,138.4,2,371
2021-09-20,David Warner,Australia,India,33,73,1,2,4,3.01,Tie,T20,98.48,45.21,3,260
2020-07-21,Babar Azam,Bangladesh,Pakistan,176,71,11,19,4,5.76,Loss,ODI,235.48,247.89,3,131
2020-09-11,Rohit Sharma,New Zealand,Pakistan,17,38,0,0,4,6.73,Tie,ODI,75.04,44.74,0,354
2023-05-13,Rohit Sharma,Pakistan,Australia,94,110,16,11,5,3.22,Win,Test,205.56,85.45,4,129
2022-07-15,Joe Root,New Zealand,Pakistan,89,86,3,13,0,7.48,Loss,ODI,74.54,103.49,4,219
2022-10-04,Kane Williamson,Pakistan,India,190,117,35,27,2,8.6,Win,Test,268.8,162.39,3,141
2024-03-20,Babar Azam,Sri Lanka,India,188,14,45,13,3,9.5,Win,ODI,264,1342.86,0,140
2022-04-14,Joe Root,Australia,South Africa,29,89,4,4,5,5.04,Loss,Test,124.42,32.58,1,369
2021-08-07,Jos Buttler,Australia,Pakistan,35,97,5,2,4,8.42,Loss,Test,96.66,36.08,0,298
2024-12-31,Babar Azam,India,Australia,183,115,0,6,4,8.4,Win,T20,172.7,159.13,2,367
2024-07-16,Steve Smith,Sri Lanka,New Zealand,124,7,29,17,5,8.19,Tie,ODI,254.62,1771.43,3,245
2020-08-24,Babar Azam,England,Bangladesh,180,55,5,29,0,9.2,Tie,ODI,168.6,327.27,2,338
2020-05-18,Babar Azam,India,Bangladesh,30,69,4,3,5,7.95,Loss,Test,116.1,43.48,0,200
2023-11-04,Steve Smith,New Zealand,Pakistan,36,132,4,0,5,5.62,Tie,T20,114.76,27.27,1,133
2025-02-13,Steve Smith,Sri Lanka,India,134,40,25,0,5,8.97,Tie,ODI,199.06,335,1,217
2023-08-29,Virat Kohli,England,South Africa,156,53,0,18,3,7.81,Tie,Test,176.38,294.34,3,224
2025-05-23,Jos Buttler,New Zealand,India,178,30,27,2,0,5.85,Tie,Test,137.3,593.33,3,133
2021-08-13,David Warner,Pakistan,New Zealand,24,136,4,0,0,7.25,Tie,ODI,5.5,17.65,3,303
2023-02-27,Kane Williamson,Australia,Pakistan,91,26,18,13,3,7.69,Loss,ODI,165.12,350,3,144
2022-06-30,David Warner,Sri Lanka,Pakistan,143,103,18,21,5,9.51,Loss,Test,251.48,138.83,0,310
2020-05-28,Rohit Sharma,India,New Zealand,194,65,37,20,4,4.85,Loss,Test,301.3,298.46,3,152
2024-03-31,Kane Williamson,England,Sri Lanka,8,64,0,1,3,4.7,Loss,ODI,57.6,12.5,0,240
2022-12-23,Steve Smith,India,Bangladesh,7,55,1,1,2,6.61,Win,ODI,35.28,12.73,1,193
2025-05-29,David Warner,Bangladesh,Sri Lanka,66,41,16,9,1,6.58,Tie,T20,98.84,160.98,3,369
2022-04-26,Jos Buttler,Sri Lanka,India,171,146,5,10,0,8.76,Win,ODI,107.98,117.12,0,128
2021-01-26,Kane Williamson,South Africa,England,35,135,4,5,2,7.87,Win,ODI,64.76,25.93,2,311
2024-10-03,Virat Kohli,Sri Lanka,England,104,85,24,11,3,3.18,Win,Test,186.64,122.35,1,199
2022-12-21,Rohit Sharma,Pakistan,Sri Lanka,89,76,20,7,3,3.77,Loss,ODI,157.96,117.11,0,204
2024-07-27,Joe Root,Bangladesh,Australia,179,89,43,2,3,7.73,Tie,Test,226.04,201.12,3,259
2021-03-09,Virat Kohli,England,India,86,87,4,3,0,3.06,Tie,Test,53.88,98.85,4,228
2022-08-18,David Warner,Sri Lanka,Australia,68,30,12,2,0,6.99,Win,Test,50.02,226.67,4,225
2021-07-17,Virat Kohli,Sri Lanka,South Africa,90,35,2,1,1,9.85,Tie,Test,52.3,257.14,4,289
2025-04-22,Jos Buttler,India,Australia,150,89,7,15,1,3.93,Loss,T20,146.14,168.54,4,371
2024-01-13,Virat Kohli,Pakistan,South Africa,148,82,24,11,2,9.26,Tie,T20,176.48,180.49,2,140
2022-08-16,Rohit Sharma,Australia,England,73,69,8,5,0,7.46,Loss,T20,52.58,105.8,4,140
2021-09-21,Virat Kohli,Bangladesh,New Zealand,128,149,1,17,0,4.83,Tie,T20,107.34,85.91,2,160
2025-05-28,Virat Kohli,India,England,160,12,16,7,5,9.06,Win,Test,214.88,1333.33,3,233
2021-12-10,Kane Williamson,Bangladesh,Australia,39,110,7,2,5,5.62,Tie,Test,128.26,35.45,4,193
2024-04-27,Steve Smith,Bangladesh,England,147,46,20,17,3,7,Loss,T20,210.5,319.57,1,169
2025-04-30,David Warner,Bangladesh,New Zealand,56,60,5,0,4,5.1,Tie,T20,107.8,93.33,2,236
2021-02-11,Jos Buttler,Sri Lanka,Australia,28,31,5,1,1,6.42,Win,Test,34.16,90.32,2,146
2022-06-05,Babar Azam,New Zealand,South Africa,141,130,0,7,0,7.87,Tie,ODI,75.76,108.46,3,197
2021-01-22,Jos Buttler,Pakistan,New Zealand,181,150,45,23,5,8.82,Win,Test,331.86,120.67,2,306
2023-04-16,Steve Smith,Bangladesh,New Zealand,89,40,17,0,0,3.69,Loss,T20,71.12,222.5,4,371
2022-01-11,Rohit Sharma,Sri Lanka,South Africa,105,57,10,6,0,5.35,Tie,T20,79.8,184.21,4,263
2021-03-17,Steve Smith,New Zealand,Pakistan,141,15,29,9,5,8.23,Tie,ODI,239.04,940,3,249
2023-07-07,Rohit Sharma,Australia,Pakistan,188,76,12,1,4,9.01,Loss,ODI,182.98,247.37,3,147
2023-01-31,Babar Azam,Bangladesh,New Zealand,19,145,1,3,1,6.35,Loss,Test,27.8,13.1,0,369
2025-04-11,David Warner,Bangladesh,Australia,48,120,4,4,0,4.93,Win,ODI,34.14,40,2,271
2023-06-30,Steve Smith,England,India,106,19,7,3,4,3.28,Tie,ODI,149.44,557.89,2,297
2023-06-27,Steve Smith,New Zealand,Pakistan,166,13,2,12,3,8.76,Loss,ODI,165.48,1276.92,3,257
2020-01-12,Rohit Sharma,India,Pakistan,71,122,14,6,0,5.61,Win,T20,70.28,58.2,4,155
2024-05-15,Steve Smith,England,Bangladesh,142,6,27,15,1,9.76,Tie,T20,170.48,2366.67,0,184
2023-08-09,Virat Kohli,Australia,England,95,45,9,0,2,9.1,Loss,ODI,87.3,211.11,2,227
2020-05-19,Virat Kohli,South Africa,India,157,49,5,18,5,9.3,Win,Test,223.9,320.41,0,125
2020-05-20,Steve Smith,Sri Lanka,South Africa,167,33,29,16,1,3.45,Win,T20,202.6,506.06,2,359
2024-03-11,Jos Buttler,India,Australia,58,98,7,9,3,5.84,Win,Test,118.32,59.18,0,369
